area_id,hospitalisations2017,hospitalisations2019
1,1242.3,1247.8
2,1356.9,1344.7
3,1286,1256.4
4,1288.9,1279.6
5,1302,1285.7
6,1269.4,1286.8
7,1322.9,1336.1
8,1286.1,1285.1
9,1340.1,1331.4
10,1258.7,1220.2
11,1394,1339.3
12,1261,1307.4
13,1238.2,1267.2
14,1279.2,1301.5
15,1302.5,1305.5
16,1316.5,1291.1
17,1301,1277.3
18,1249.5,1242.3
19,1289.4,1269.2
20,1262.8,1232.9
21,1280,1259.4
22,1340.5,1316.5
23,1332.2,1315
24,1308.6,1304.3
25,1281,1265.4
26,1297.4,1292.5
27,1311.2,1316.5
28,1266.6,1259.5
29,1200.8,1211.2
30,1308.6,1287.7
31,1314.7,1290.4
32,1267.1,1238
33,1309.5,1284.5
34,1278.9,1232.2
35,1314.8,1299.8
36,1282.6,1281.9
37,1295.8,1308
38,1258.2,1306.7
39,1347.8,1351
40,1348.2,1316.6
41,1205.7,1236.4
42,1370.9,1353.5
43,1328.5,1264.3
44,1297,1294.6
45,1316.4,1255.6
46,1256.3,1250.3
47,1311.5,1281
48,1262.6,1273.1
49,1316.6,1306.8
50,1293.6,1233.7
